CompName,CompBirth,CompLiving,CompNation,CompGender,CompCald,CompFn,WorkTitle,WorkLength,WorkYear,WorkAp,WorkWp,WorkInst
Johann Sebastian Bach,1685,N,German,M,N,N,"Grave and Fugue from Sonata No. 2 in A minor for solo violin, BWV 1003",5,1720,N,N,Solo Violin
Johann Sebastian Bach,1685,N,German,M,N,N,"Allemande from Partita in D minor for solo violin,  in G minor, BWV 1004",5,1717,N,N,Solo Viola
Johann Sebastian Bach,1685,N,German,M,N,N,"Corrente from Partita in A minor for solo flute, BWV 1013",5,1722,N,N,Solo Flute
Johann Sebastian Bach,1685,N,German,M,N,N,"Sarabande from Suite No. 1 in G major for solo cello, BWV 1007",5,1717,N,N,Solo Cello
Johann Sebastian Bach,1685,N,German,M,N,N,"Allegro from Sonata No. 2 in A minor for solo violin, BWV 1003",5,1720,N,N,Solo Violin
Johann Sebastian Bach,1685,N,German,M,N,N,"Sarabande from English Suite No. 3 in G minor, BWV 808",8,1720,N,N,Chamber orchestra
Johann Sebastian Bach,1685,N,German,M,N,N,"Tempo di Borea from Partita No. 1 in B minor for solo violin, BWV 1002, transcribed for Viola",5,1720,N,N,Solo Viola
Johann Sebastian Bach,1685,N,German,M,N,N,"Preludio from Partita No. 3 in E major for solo violin, BWV 1006",5,1720,N,N,Solo Violin
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
