SeriesID,SeriesName,SeriesDate,SeriesPerfs,SeriesVenue,SeriesEd,SeriesInt
ACO2019001,Arvo Pärt & JS Bach, 2019-02,9,Various cities,N,Y
ACO2019002,"Mozart, Haydn and More", 2019-03,6,Various cities,N,Y
ACO2019003,Beethoven & Prokofiev, 2019-03,3,Various cities,N,Y
ACO2019005,Theres a Sea in My Bedroom, 2019-05,15,Sydney Opera House's Utzon Room,Y,Y
ACO2019006,Branford Marsalis, 2019-05,10,Various Cities,N,Y
ACO2019007,Respighi Britten and Vasks, 2019-06,1,Melbourne Recital Centre,N,Y
ACO2019008,Indies & Idols, 2019-06,10,Various cities,N,Y
ACO2019009,Luminous, 2019-08,11,Various cities,N,Y
ACO2019010,Celebrating Mozart, 2019-09,8,Various cities,N,Y
ACO2019011,Intimate Bach, 2019-10,10,Various cities,N,Y
ACO2019012,Serenades For Strings, 2019-10,10,Various cities,N,Y
ACO2019013,Brahms & Dvo?ák, 2019-11,11,Various cities,N,Y
ACO2019014,Nico Muhly and the New, 2019-12,1,Melbourne Recital Centre,N,Y
