SeriesID,SeriesName,SeriesDate,SeriesPerfs,SeriesVenue,SeriesEd,SeriesInt
ASO2019001,From the Mists of Time, 2019-03,2,Adelaide Town Hall,N,Y
ASO2019002,St John Passion, 2019-04,2,Adelaide Town Hall,N,Y
ASO2019003,Fond Farewells, 2019-05,2,Adelaide Town Hall,N,Y
ASO2019004,Winter Fire, 2019-06,3,Adelaide Town Hall,N,Y
ASO2019005,Faith & Beauty, 2019-07,2,Adelaide Town Hall,N,Y
ASO2019006,Symphonic Dances, 2019-09,2,Adelaide Town Hall,N,Y
ASO2019007,Idyllic Visions, 2019-09,2,Adelaide Town Hall,N,Y
ASO2019008,New Worlds, 2019-09,2,Adelaide Town Hall,N,Y
ASO2019009,Zukerman’s Elgar, 2019-11,3,Adelaide Town Hall,N,Y
ASO2019010,Magical Tchaikovsky, 2019-11,2,Adelaide Town Hall,N,Y
ASO2019011,Season Opening Gala, 2019-02,1,Festival Theatre,N,Y
ASO2019012,Beethoven: The Piano Concertos, 2019-06,1,Elder Hall,N,Y
ASO2019013,Harry Potter and the Goblet of Fire In Concert, 2019-09,1,Adelaide Entertainment Centre,N,Y
ASO2019014,Star Wars: The Empire Strikes Back In Concert, 2019-09,1,Adelaide Entertainment Centre,N,Y
ASO2019015,Food Glorious Food, 2019-04,1,Adelaide Town Hall,N,Y
ASO2019016,From Russia with Love, 2019-06,1,Adelaide Town Hall,N,Y
ASO2019017,Mozart at Elder, 2019-04,1,Elder Hall,N,Y
