CompName,CompBirth,CompLiving,CompNation,CompGender,CompCald,CompFn,WorkTitle,WorkLength,WorkYear,WorkAp,WorkWp,WorkInst
Tina Arena,1967,Y,Australian,F,Y,N,Tangled,4,2001,N,N,Orchestra and band
Tina Arena,1967,Y,Australian,F,Y,N,Something's Gotta Change,4,2001,N,N,Orchestra and band
Tina Arena,1967,Y,Australian,F,Y,N,Dancing on Thin Ice,4,2021,N,N,Orchestra and band
Tina Arena,1967,Y,Australian,F,Y,N,Time To Go To Church,4,2021,N,N,Orchestra and band
Tina Arena,1967,Y,Australian,F,Y,N,Woman,4,2010,N,N,Orchestra and band
Tina Arena,1967,Y,Australian,F,Y,N,You Set Fire to my Life,4,2013,N,N,Orchestra and band
Tina Arena,1967,Y,Australian,F,Y,N,The Greatest Gift,4,1994,N,N,Orchestra and band
Tina Arena,1967,Y,Australian,F,Y,N,Wasn't it Good,4,1995,N,N,Orchestra and band
Tina Arena,1967,Y,Australian,F,Y,N,Chains,4,1995,N,N,Orchestra and band
Tina Arena,1967,Y,Australian,F,Y,N,Burn,4,1997,N,N,Orchestra and band
Tina Arena,1967,Y,Australian,F,Y,N,Heaven Help My Heart,4,1994,N,N,Orchestra and band
Tina Arena,1967,Y,Australian,F,Y,N,Sorento Moon,4,1994,N,N,Orchestra and band
Tina Arena,1967,Y,Australian,F,Y,N,Symphony of Life,4,2001,N,N,Orchestra and band
