SeriesID,SeriesName,SeriesDate,SeriesPerfs,SeriesVenue,SeriesEd,SeriesInt
MSO2021001,The Faun and the Firebird,2021-01,1,Sidney Myer Music Bowl,N,N
MSO2021002,Mambo! Dancing Across the Centuries,2021-02,1,Sidney Myer Music Bowl,N,N
MSO2021003,Spanish Harlem,2021-02,1,Sidney Myer Music Bowl,N,N
MSO2021004,Chinese New Year,2021-03,1,Hamer Hall,N,N
MSO2021005,Cheetham and Beethoven,2021-03,3,Hamer Hall,N,Y
MSO2021006,"Mazzoli, Dvořák & Sibelius",2021-03,2,Various,N,N
MSO2021007,Above Knowing,2021-03,1,Deakin Edge,N,N
MSO2021008,Sophie Rowell Plays Sutherland,2021-03,3,Hamer Hall,N,N
MSO2021009,Rautavaaraa: Angel of Light,2021-03,3,Hamer Hall,N,N
MSO2021010,WATA,2021-04,2,Hamer Hall,N,N
MSO2021011,Blood on the Floor,2021-04,1,Hamer Hall,N,N
MSO2021012,Genevieve Lacey,2021-04,3,Various,N,N
MSO2021013,Ruler of the Hive,2021-04,3,Various,N,N
MSO2021014,From the New World,2021-04,2,Hamer Hall,N,N
MSO2021015,Vivaldi's The Four Seasons,2021-05,1,Hamer Hall,N,N
MSO2021016,"To Mother, With Love",2021-05,1,Deakin Edge,N,N
MSO2021017,Schumann's Cello Concerto,2021-05,3,Hamer Hall,N,N
MSO2021018,Dale Barltrop Plays Schumann,2021-05,3,Hamer Hall,N,N
MSO2021019,Meow Meow's Pandemonium,2021-05,2,Hamer Hall,N,N
MSO2021020,Schubert's Unfinished Symphony,2021-06,1,Digital,N,N
MSO2021021,Haydn's Miracle Symphony,2021-06,1,Digital,N,N
MSO2021022,Discover Beethoven,2021-11,1,Melbourne Recital Centre,N,N
MSO2021023,Classical Hits,2021-12,2,Sidney Myer Music Bowl,N,N
MSO2021024,Handel's Messiah,2021-12,2,Hamer Hall,N,N
MSO2021025,Rachmaninov's Symphony No 2,2021-07,2,Hamer Hall,N,N
MSO2021026,Birds of Tokyo,2021-01,1,Sidney Myer Music Bowl,N,N
MSO2021027,Tina Arena with MSO,2021-01,1,Sidney Myer Music Bowl,N,Y
MSO2021028,Everything is Wonderful,2021-03,2,Hamer Hall,N,Y
MSO2021029,The Bamboos + MSO,2021-03,2,Hamer Hall,N,N
MSO2021030,Cybec Showcase,2021-10,1,Digital,N,N
MSO2021031,Lockdown Special,2021-07,1,Digital,N,N
