SeriesID,SeriesName,SeriesDate,SeriesPerfs,SeriesVenue,SeriesEd,SeriesInt
MV2020001,Reconnect Western Australia,2020-10,1,"Government House, Perth",N,N
MV2020002,Duo Histoire,2020-10,1,Wagga Wagga,N,N
MV2020003,Reconnect South Australia,2020-10,1,"National Wine Centre, Adelaide",N,N
MV2020004,Enigma Quartet,2020-09,2,Various venues,N,Y
MV2020005,Erin Helyard & David Greco,2020-11,3,Various venues inc. Digital,N,N
MV2020006,Goldner String Quartet,2020-11,1,The Concourse,N,N
MV2020007,Queen of the Nile: Camerata with Sofia Troncoso,2020-11,1,QPAC,N,N
MV2020008,Adelaide Chamber Singers with Sharon Grigoryan,2020-11,1,Adelaide Town Hall,N,N
MV2020009,Sara Macliver & St George’s Cathedral Consort,2020-11,1,Perth Concert Hall,N,N
MV2020010,Nexas Saxophone Quartet,2020-03,1,The Concourse,N,N
MV2020011,Garrick Ohlsson Program 1,2020-02,5,Various venues,N,Y
MV2020012,Garrick Ohlsson Program 2,2020-02,4,Various venues,N,Y
