SeriesID,SeriesName,SeriesDate,SeriesPerfs,SeriesVenue,SeriesEd,SeriesInt
QSO2019001,Harry Potter and the Goblet of Fire,2019-02,2,BCEC,N,Y
QSO2019002,Heavenly,2019-02,1,QPAC Concert Hall,N,Y
QSO2019003,Festival of Folk,2019-03,1,QPAC Concert Hall,N,Y
QSO2019004,Romeo and Juliet,2019-03,2,QPAC Concert Hall,N,Y
QSO2019005,Dreamscapes,2019-04,1,QPAC Concert Hall,N,Y
QSO2019006,The Last Night of the Proms,2019-05,1,QPAC Concert Hall,N,Y
QSO2019007,Catherdral of Sound,2019-05,2,QPAC Concert Hall,N,Y
QSO2019008,Kings and Queens,2019-05,1,QPAC Concert Hall,N,Y
QSO2019009,Soulful Journeys,2019-06,1,QPAC Concert Hall,N,Y
QSO2019010,Animal Kingdom,2019-06,1,QPAC Concert Hall,N,Y
QSO2019011,The Great Symphony,2019-07,1,QPAC Concert Hall,N,Y
QSO2019012,Sounds from the Deep,2019-08,1,QPAC Concert Hall,N,Y
QSO2019013,Latin American Gala,2019-08,1,QPAC Concert Hall,N,Y
QSO2019014,Romance and Revolution,2019-09,1,QPAC Concert Hall,N,Y
QSO2019015,Paul Lewis in Recital,2019-09,1,QPAC Concert Hall,N,Y
QSO2019016,Ray Chen Returns,2019-10,2,QPAC Concert Hall,N,Y
QSO2019017,Toys and Puppets,2019-10,1,QPAC Concert Hall,N,Y
QSO2019018,Tchaikovsky and Beethoven,2019-11,1,QPAC Concert Hall,N,Y
QSO2019019,Timeless,2019-11,2,QPAC Concert Hall,N,Y
QSO2019020,Messiah,2019-12,1,QPAC Concert Hall,N,Y
