CompName,CompBirth,CompLiving,CompNation,CompGender,CompCald,CompFn,WorkTitle,WorkLength,WorkYear,WorkAp,WorkWp,WorkInst
Alfred Newman,1900,N,American,M,N,N,Twentieth Centry Fox Fanfare,1,1933,N,N,Orchestra
John Williams,1932,Y,American,M,N,N,Star Wars Main Theme,5,1963,N,N,Orchestra
Ludwig van Beethoven,1770,N,German,M,N,N,"Symphony No.7 in A major, op.92 II. Allegretto",8,1812,N,N,Orchestra
John Williams,1932,Y,American,M,N,N,Harry's Wondrous World from Harry Potter and the Philosopher's Stone,5,2001,N,N,Orchestra
Pietro Mascagni,1863,N,Italian,M,N,N,Intermezzo from Cavalleria rusticana,4,1890,N,N,Orchestra
Rachel Portman,1960,Y,English,F,N,N,Suite from Belle,2,2013,N,N,Orchestra
John Williams,1932,Y,American,M,N,N,Princess Leia's Theme from Star Wars Suite,4,1963,N,N,Orchestra
Howard Shore,1946,Y,Canadian,M,N,N,The Lord of the Rings: Suite from The Fellowship of the Rings,10,2001,N,N,Orchestra
Ennio Morricone,1928,N,Italian,M,N,N,Love Theme from Cinema Paradiso,4,1988,N,N,Orchestra
Johann Strauss II,1825,N,Austrian,M,N,N,On the Beautiful Blue Danube,8,1866,N,N,Orchestra
John Williams,1932,Y,American,M,N,N,Adventures on Earth' from E.T.,10,1982,N,N,Orchestra
John Williams,1932,Y,American,M,N,N,Throne Room and End Title from Star Wars Suite for Orchestra,8,1963,N,N,Orchestra
