SeriesID,SeriesName,SeriesDate,SeriesPerfs,SeriesVenue,SeriesEd,SeriesInt
SSO2019001,A Russian Gala,2019-11,2,Sydney Opera House Concert Hall,N,Y
SSO2019002,Mendelssohn And Martinu,2019-10,2,Sydney Opera House Utzon Room,N,N
SSO2019003,A Paris Happening,2019-10,1,Sydney Opera House Concert Hall,N,N
SSO2019004,Donald Runnicles Conducts Faure’s Requiem,2019-10,3,Sydney Opera House Concert Hall,N,Y
SSO2019005,Donald Runnicles Conducts Bruckner Symphony No.7,2019-10,3,Sydney Opera House Concert Hall,N,N
SSO2019006,Vivaldi's Four Seasons Family Concert,2019-10,2,Sydney Opera House Concert Hall,N,N
SSO2019007,The Four Seasons,2019-10,3,Sydney Opera House Concert Hall,Y,N
SSO2019008,The Soldier’s Tale,2019-09,3,Sydney Opera House Utzon Room,Y,N
SSO2019009,Holst's Planets,2019-09,3,Sydney Opera House Concert Hall,N,Y
SSO2019010,Andreas Brantelid Performs Elgar’s Cello Concerto,2019-09,4,Sydney Opera House Concert Hall,Y,Y
SSO2019011,Star Wars: The Force Awakens In Concert,2019-09,4,Sydney Opera House Concert Hall,N,Y
SSO2019012,Music From Swan Lake,2019-09,2,The Concourse Concert Hall,N,Y
SSO2019013,Geoffrey Lancaster In Recital,2019-09,1,City Recital Hall,N,Y
SSO2019014,Shostakovich Symphony No.4,2019-08,3,Sydney Opera House Concert Hall,N,Y
SSO2019015,Beethoven And Brahms,2019-08,2,Sydney Opera House Utzon Room,N,N
SSO2019016,Schubert And Liszt,2019-08,4,Sydney Opera House Concert Hall,Y,Y
SSO2019017,Mozart's Symphony No.29,2019-08,2,Sydney Opera House Concert Hall,N,N
SSO2019018,Star Wars: Return Of The Jedi In Concert,2019-08,4,Sydney Opera House Concert Hall,N,Y
SSO2019019,Britten’s Peter Grimes In Concert,2019-07,2,Sydney Opera House Concert Hall,N,Y
SSO2019020,Saint-Saëns’ Organ Symphony,2019-07,2,Sydney Opera House Concert Hall,N,Y
SSO2019021,Harry Potter And The Half-Blood Prince In Concert,2019-07,5,Sydney Opera House Concert Hall,N,Y
SSO2019022,Dohnányi And Shostakovich Cocktail Hour,2019-07,3,Sydney Opera House Utzon Room,N,N
SSO2019023,Beethoven Symphony No.5,2019-07,4,Sydney Opera House Concert Hall,N,Y
SSO2019024,Lang Lang Gala Performance,2019-06,2,Sydney Opera House Concert Hall,N,Y
SSO2019025,Boccherini And Glazunov,2019-06,3,Sydney Opera House Utzon Room,N,N
SSO2019026,Dvo_ák’s Symphony No.6,2019-06,2,Sydney Opera House Concert Hall,N,Y
SSO2019027,Cellos Of The Sydney Symphony,2019-06,1,Sydney Opera House Concert Hall,N,N
SSO2019028,Last Night Of The Proms,2019-06,3,Sydney Opera House Concert Hall,Y,Y
SSO2019029,Emma Matthews Sings Mozart Arias,2019-05,1,City Recital Hall,N,N
SSO2019030,Slava Grigoryan And Beethoven’s Eroica,2019-05,3,Various regional venues,N,Y
SSO2019031,Yulianna Avdeeva Performs Chopin’s Piano Concerto No.1,2019-05,3,Sydney Opera House Concert Hall,N,Y
SSO2019032,The Sydney Symphony Celebrates Paul Goodchild,2019-05,3,Sydney Opera House Concert Hall,Y,Y
SSO2019033,Breakfast At Tiffany's,2019-05,3,Sydney Opera House Concert Hall,N,Y
SSO2019034,Lisa Moore In Recital,2019-04,1,City Recital Hall,N,Y
SSO2019035,Harry Potter And The Order Of The Phoenix In Concert,2019-04,5,Sydney Opera House Concert Hall,N,Y
SSO2019036,David Drury,2019-04,1,Sydney Opera House Concert Hall,N,N
SSO2019037,Simone Lamsma Performs Beethoven’s Violin Concerto,2019-04,4,Sydney Opera House Concert Hall,N,N
SSO2019038,Haydn And Beethoven,2019-04,1,Sydney Opera House Utzon Room,N,N
SSO2019039,Barry Douglas Performs Brahms,2019-03,4,Sydney Opera House Concert Hall,Y,Y
SSO2019040,Alessio Bax In Recital,2019-03,1,City Recital Hall,N,Y
SSO2019041,Alessio Bax Performs Mozart,2019-03,1,City Recital Hall,N,N
SSO2019042,Pictures At An Exhibition,2019-03,2,Sydney Opera House Concert Hall,Y,N
SSO2019043,Scottish Fantasy,2019-03,3,Sydney Opera House Concert Hall,N,Y
SSO2019044,Casino Royale In Concert,2019-03,3,Sydney Opera House Concert Hall,N,Y
SSO2019045,The Sydney Symphony & Jazz At Lincoln Center Orchestra,2019-02,3,Sydney Opera House Concert Hall,Y,Y
SSO2019046,Bartók’s Concerto For Orchestra,2019-02,3,Sydney Opera House Concert Hall,N,Y
SSO2019047,Season Opening Gala,2019-02,2,Sydney Opera House Concert Hall,N,N
SSO2019048,A Lunar New Year Celebration,2019-02,2,Sydney Opera House Concert Hall,N,N
SSO2019049,Skyfall in Concert,2019-11,3,Sydney Opera House Concert Hall,N,Y
SSO2019050,Mahler's Klagende Lied,2019-12,3,Sydney Opera House Concert Hall,N,Y
SSO2019051,Paul Lewis in Recital,2019-11,1,City Recital Hall,N,Y
SSO2019052,Film Music: Nick Cave and Warren Ellis,2019-11,1,Sydney Opera House Concert Hall,N,Y
SSO2019053,Andrew Haveron Performs Mozart,2019-11,3,Various Venues,N,Y
SSO2019054,The Composer is Dead,2019-11,2,Sydney Opera House Concert Hall,Y,N
SSO2019055,Turangalîla-Symphonie,2019-11,1,Sydney Opera House Concert Hall,N,Y
SSO2019056,American Harmonies,2019-11,1,Sydney Opera House Concert Hall,N,Y
