CompName,CompBirth,CompLiving,CompNation,CompGender,CompCald,CompFn,WorkTitle,WorkLength,WorkYear,WorkAp,WorkWp,WorkInst
Johannes Brahms,1883,N,German,M,N,N,String Sextet No.1,36,1860,N,N,String sextet
Tim Stevenson,1961,N,British,M,N,N,4 Elegies,5,1991,N,N,Solo violin
Jeffrey Agrell,1948,Y,American,M,N,N,Blues for DD,3,1993,N,N,Chamber ensemble
Henri Vieuxtemps,1820,N,Belgian,M,N,N,Capriccio,3,1887,N,N,Solo viola
Joseph Haydn,1732,N,Austrian,M,N,N,"String Quartet in E-flat, Op. 33, No. 2, “The Joke”",9,1781,N,N,String quartet
George Gershwin,1898,N,American,M,N,N,Aria from Porgy and Bess,3,1935,N,N,Violin and piano
Ludwig van Beethoven,1770,N,German,M,N,N,String Quartet No. 11,18,1810,N,N,String quartet
Richard Strauss,1864,N,German,M,N,N,Concerto in D major for Oboe,9,1945,N,N,Oboe duet
Edward Elgar,1857,N,English,M,N,N,"La Capricieuse, Op.17",4,1891,N,N,Violin and piano
Ludwig van Beethoven,1770,N,German,M,N,N,Mit zwei obligaten Augenglasern,8,1796,N,N,Viola and cello
Georges Hüe,1858,N,French,M,N,N,Fantaisie,8,1913,N,N,Flute and piano
Georg Philipp Telemann,1681,N,German,M,N,N,Gulliver’s Suite for two violins,7,1728,N,N,Violin duet
Giovanni Sollima,1962,Y,Italian,M,N,N,Alone,6,1999,N,N,Solo cello
Dmitry Kabalevsky,1904,N,Russian,M,N,N,"Improvisation, Op.21",4,1934,N,N,Violin and piano
Antonín Dvo_ák,1841,N,Czech,M,N,N,"Terzetto in C Major, op. 74",9,1887,N,N,String trio
Johann Sebastian Bach,1685,N,German,M,N,N,Sonata No.1 for Violin in G minor BWV 1001,13,1720,N,N,"Piano, oboe and cor anglais"
Antonín Dvo_ák,1841,N,Czech,M,N,N,New World Symphony,2,1893,N,N,Cor Anglais
Charles Koechlin,1867,N,French,M,N,N,Idylle,3,1925,N,N,Violin and viola
Antonín Dvo_ák,1841,N,Czech,M,N,N,Symphony No.8,10,1889,N,N,Trombone Quartet
Béla Bartók,1881,N,Hungarian,M,N,N,Sorrow,3,1936,N,N,Violin duet
Hector Berlioz,1803,N,French,M,N,N,Scène aux champs,2,1830,N,N,Oboe and cor anglais
Michael Praetorius,1571,N,German,M,N,N,Terpsichore: La Volta,2,1612,N,N,Chamber ensemble
Franz Schubert,1797,N,Austrian,M,N,N,Sonatina in D major,4,1816,N,N,Violin and piano
Antonín Dvo_ák,1841,N,Czech,M,N,N,Miniatures for two violins and viola,2,1887,N,N,String trio
Stephen Lalor,1960,Y,Australian,M,N,N,Kolo Kolo,3,2009,N,N,Chamber ensemble
Johann Sebastian Bach,1685,N,German,M,N,N,Sarabande,5,1723,N,N,Solo marimba
Joseph Bodin de Boismortier,1689,N,French,M,N,N,Sonata,3,1726,N,N,Bass Clarinet duo
Wolfgang Amadeus Mozart,1756,N,Austrian,M,N,N,String Duo in G: Adagio,4,1783,N,N,Violin and viola
Bill Withers,1938,N,American,M,N,N,Just the Two of Us,3,1981,N,N,Solo trombone
Ralph Vaughan Williams,1872,N,English,M,N,N,The Lark Ascending,4,1914,N,N,Solo violin
