CompName,CompBirth,CompLiving,CompNation,CompGender,CompCald,CompFn,WorkTitle,WorkLength,WorkYear,WorkAp,WorkWp,WorkInst
Tim Jones,1970,Y,Australian,M,N,N,The Mountain,8,2020,Y,Y,Chamber orchestra
Steven Verhelst,1981,Y,Belgian,M,N,N,Devil's Waltz,4,2013,N,N,Trombone duet
Wolfgang Amadeus Mozart,1756,N,Austrian,M,N,N,Clarinet Quintet K.581,30,1789,N,N,Clarinet quintet
Richard Wagner,1813,N,German,M,N,N,"Träume, from Wesendonck Lieder",4,1857,N,N,Voice and piano
Alexander von Zemlinsky,1871,N,Austrian,M,N,N,Waldgespräch,7,1896,N,N,Chamber orchestra
Arnold Schoenberg,1874,N,Austrian,M,N,N,Verklärte Nacht,30,1899,N,N,String sextet
Claude Debussy,1862,N,French,M,N,N,Prélude à ‘L’aprés-midi d’un faune’,10,1894,N,N,Chamber orchestra
Arnold Schoenberg,1874,N,Austrian,M,N,N,Emperor Waltz,12,1889,N,N,Chamber orchestra
Igor Stravinsky,1882,N,Russian,M,N,N,Pulcinella Suite,24,1920,N,N,Chamber orchestra
Saxon Hornett,1990,Y,Australian,M,N,N,Laceless,4,2020,Y,Y,Chamber orchestra
Joe Chindamo,1961,Y,Australian,M,Y,N,Variations on Dido’s Lament,4,2014,N,N,Chamber orchestra
Pyotr Ilyich Tchaikovsky,1840,N,Russian,M,N,N,Souvenir de Florence,33,1890,N,N,Chamber orchestra
Percy Grainger,1882,N,American,M,N,N,Shepherd’s Hey,2,1918,N,N,Chamber ensemble
Percy Grainger,1882,N,American,M,N,N,The Duke of Marlborough Fanfare,3,1939,N,N,Chamber ensemble
Edvard Grieg,1843,N,Norwegian,M,N,N,"Triumphal March, from Sigurd Jorsalfar",10,1872,N,N,Chamber ensemble
Wolfgang Amadeus Mozart,1756,N,Austrian,M,N,N,Sinfonia Concertante K.364,33,1779,N,N,Chamber orchestra
Jacques Ibert,1890,N,French,M,N,N,Divertissement,16,1929,N,N,Chamber orchestra
Charles Ives,1874,N,American,M,N,N,The Unanswered Question,5,1908,N,N,Chamber ensemble
Joseph Haydn,1732,N,Austrian,M,N,N,"Symphony No.103, Drumroll",28,1795,N,N,Orchestra
