SeriesID,SeriesName,SeriesDate,SeriesPerfs,SeriesVenue,SeriesEd,SeriesInt
TSO2021001,Haydn & Beethoven,2021-11,2,"Woolmers Estate, Longford",N,N
TSO2021002,Peer Gynt,2021-11,1,Federation Concert Hall,N,N
TSO2021003,Beethoven's Archduke,2021-02,2,Federation Concert Hall,N,N
TSO2021004,The Four Seasons,2021-02,2,Federation Concert Hall,N,N
TSO2021005,Italian Odyssey,2021-02,2,Federation Concert Hall,N,N
TSO2021006,Mighty Brass & Percussion,2021-01,1,Federation Concert Hall,N,N
TSO2021007,Mozart Clarinet Concerto,2021-01,2,Federation Concert Hall,N,N
TSO2021008,Pictures at an Exhibition,2021-03,2,Federation Concert Hall,N,N
TSO2021009,Strauss & Beethoven,2021-02,2,Queen Victoria Museum and Art Gallery,N,N
TSO2021010,Sublime Strings,2021-02,2,Federation Concert Hall,N,N
TSO2021011,Sublime Strings 2,2021-01,2,Queen Victoria Museum and Art Gallery,N,N
TSO2021012,Borodin & Bartok,2021-05,1,Design Tasmania,N,N
TSO2021013,Four Seasons of Buenos Aires,2021-05,3,Federation Concert Hall,N,N
TSO2021014,Mahler's Fourth Symphony,2021-04,2,Federation Concert Hall,N,N
TSO2021015,Mighty Brass & Percussion II,2021-05,1,Federation Concert Hall,N,N
TSO2021016,Mozart & Latham,2021-05,1,Design Tasmania,N,N
TSO2021017,"Ring Out the Old, Ring in the New",2021-06,1,Federation Concert Hall,N,N
TSO2021018,Serenata Notturna,2021-04,2,Federation Concert Hall,N,N
TSO2021019,Sinfonia Concertante,2021-05,2,Federation Concert Hall,N,N
TSO2021020,TSO Double Basses Play Showtunes,2021-06,2,Federation Concert Hall,N,N
TSO2021021,Beethoven's Sixth,2021-11,1,Federation Concert Hall,N,N
TSO2021022,Beethoven's Eighth,2021-11,1,Federation Concert Hall,N,N
TSO2021023,Beethoven's Seventh,2021-11,1,Federation Concert Hall,N,N
TSO2021024,Briger Conducts Tchaikovsky,2021-10,1,Federation Concert Hall,N,N
TSO2021025,Gillham Plays Beethoven,2021-09,1,Federation Concert Hall,N,N
TSO2021026,Beethoven & Mozart,2021-04,1,Federation Concert Hall,N,N
TSO2021027,Razumovsky Quartet,2021-04,1,Queen Victoria Museum and Art Gallery,N,N
TSO2021028,Beethoven's Fifth,2021-08,2,Federation Concert Hall,N,N
TSO2021029,Beethoven's First,2021-08,1,Federation Concert Hall,N,N
TSO2021030,Beethoven's Fourth,2021-08,1,Federation Concert Hall,N,N
TSO2021031,Beethoven's Second,2021-08,1,Federation Concert Hall,N,N
TSO2021032,Beethoven's Third,2021-08,2,Federation Concert Hall,N,N
TSO2021033,Brahms & Latham,2021-07,2,"Woolmers Estate, Longford",N,N
TSO2021034,Starstruck,2021-07,2,Federation Concert Hall,N,N
TSO2021035,Songs of Travel,2021-09,2,"Woolmers Estate, Longford",N,N
