CompName,CompBirth,CompLiving,CompNation,CompGender,CompCald,CompFn,WorkTitle,WorkLength,WorkYear,WorkAp,WorkWp,WorkInst
Franz von SuppÃ©,1819,N,Austrian,M,N,N,Light Cavalry Overture,4,1866,N,N,Orchestra
Gaetano Donizetti,1797,N,Italian,M,N,N,La fille du Regiment: Salut a la France,4,1840,N,N,Orchestra
Franz Liszt,1811,N,Hungarian,M,N,N,Hungarian Rhapsody No.2,4,1847,N,N,Orchestra
Giuseppe Verdi,1813,N,Italian,M,N,N,Aida: Triumphal March & Chorus,4,1871,N,N,Orchestra
Vincenzo Bellini,1801,N,Italian,M,N,N,Norma: Casta Diva,4,1830,N,N,Orchestra
Aram Khachaturian,1903,N,Armenian,M,N,N,Gayane: Sabre Dance,4,1942,N,N,Orchestra
Richard Wagner,1813,N,German,M,N,N,Die WalkÃ¼rie: Ride of the Valkyries,4,1870,N,N,Orchestra
BedÅich Smetana,1824,N,Czech,M,N,N,"The Bartered Bride, Act I Chorus",4,1866,N,N,Orchestra
Leonard Bernstein,1918,N,American,M,N,N,Candide: Glitter and be Gay,4,1956,N,N,Orchestra
Henry Wood,1869,N ,English,M,N,N,Fantasy on British Sea Songs,4,1905,N,N,Orchestra
Thomas Arne,1710,N,English,M,N,N,"Rule, Britannia",4,1740,N,N,Orchestra
Hubert Parry,1848,N,English,M,N,N,Jerusalem,4,1916,N,N,Orchestra
Edward Elgar,1857,N,English,M,N,N,Pomp and Circumstance No.1 âLand of Hope and Gloryâ,4,1901,N,N,Orchestra
