SeriesID,SeriesName,SeriesDate,SeriesPerfs,SeriesVenue,SeriesEd,SeriesInt
WASO2021001,An American in Paris,2021-03,2,Perth Concert Hall,N,Y
WASO2021002,Symphonic Stories,2021-05,2,Perth Concert Hall,N,Y
WASO2021003,Beethoven's Pastoral Symphony,2021-06,2,Perth Concert Hall,N,Y
WASO2021004,Asher Fisch conducts The Planets,2021-08,2,Perth Concert Hall,N,Y
WASO2021005,Power and Passion,2021-09,1,Perth Concert Hall,N,Y
WASO2021006,Landscape and Wonder,2021-11,2,Perth Concert Hall,N,Y
WASO2021007,Romance and Mystery,2021-03,3,Perth Concert Hall,N,Y
WASO2021008,"Dances, Devils and Arabian Nights, morning version",2021-04,1,Perth Concert Hall,N,N
WASO2021009,"Dances, Devils and Arabian Nights",2021-04,2,Perth Concert Hall,N,Y
WASO2021010,"Fantasy, Tragedy and Passion",2021-05,1,Perth Concert Hall,N,Y
WASO2021011,Latīne Fiesta!,2021-05,2,Perth Concert Hall,N,Y
WASO2021012,Brahms’ German Requiem,2021-06,2,Perth Concert Hall,N,Y
WASO2021013,Sibelius and Brahms,2021-08,2,Perth Concert Hall,N,Y
WASO2021014,Paul Dyer’s Baroque Favourites,2021-10,2,Perth Concert Hall,N,Y
WASO2021015,Miracles and Triumphs,2021-11,2,Perth Concert Hall,N,Y
WASO2021016,The Best of Rodgers and Hammerstein,2021-03,1,Perth Concert Hall,N,Y
WASO2021017,Bach's Easter Oratorio,2021-03,1,Perth Concert Hall,N,Y
WASO2021018,Last Night of the Proms: A Classical Spectacular,2021-11,2,Perth Concert Hall,N,Y
WASO2021019,Birds of Tokyo in Concert with WASO,2021-01,3,Perth Concert Hall,N,Y
WASO2021020,Ben Folds with WASO,2021-01,2,Perth Concert Hall,N,Y
WASO2021021,Harry Potter and the Order of the Phoenix in Concert,2021-03,3,"Riverside Theatre, PCEC",N,N
WASO2021022,Star Wars: Return of the Jedi in Concert,2021-10,3,"Riverside Theatre, PCEC",N,N
WASO2021023,Young Person’s Guide to the Orchestra,2021-06,1,Perth Concert Hall,Y,N
WASO2021024,Stan and Mabel and the Race for Space,2021-08,2,Perth Town Hall,Y,N
